sc,	sm,	mu_c,	mu_m,	lnZ,	D,	d 
0.4522,	1.116,	0.7333,	0.1,	-243.4,	4.038,	1.838
0.6733,	1.116,	0.7333,	0.1,	-243.4,	4.187,	2.034
0.8944,	1.116,	0.7333,	0.1,	-243.4,	4.114,	1.651
1.116,	1.116,	0.7333,	0.1,	-243.7,	4.274,	2.413
1.337,	1.116,	0.7333,	0.1,	-243.4,	4.268,	1.853
1.558,	1.116,	0.7333,	0.1,	-243.7,	4.199,	2.49
1.779,	1.116,	0.7333,	0.1,	-244.0,	4.556,	2.009
2.0,	1.116,	0.7333,	0.1,	-244.6,	5.202,	2.313
0.01,	1.337,	0.7333,	0.1,	-263.2,	3.359,	1.518
0.2311,	1.337,	0.7333,	0.1,	-244.9,	4.892,	4.05
0.4522,	1.337,	0.7333,	0.1,	-243.3,	3.869,	2.018
0.6733,	1.337,	0.7333,	0.1,	-243.0,	3.752,	1.707
0.8944,	1.337,	0.7333,	0.1,	-243.5,	4.14,	2.053
1.116,	1.337,	0.7333,	0.1,	-243.4,	4.275,	1.466
1.337,	1.337,	0.7333,	0.1,	-243.6,	4.306,	1.82
1.558,	1.337,	0.7333,	0.1,	-243.8,	4.289,	1.969
1.779,	1.337,	0.7333,	0.1,	-243.7,	4.282,	2.118
2.0,	1.337,	0.7333,	0.1,	-244.8,	5.341,	2.064
0.01,	1.558,	0.7333,	0.1,	-262.7,	2.767,	1.619
0.2311,	1.558,	0.7333,	0.1,	-244.5,	4.783,	3.067
0.4522,	1.558,	0.7333,	0.1,	-243.0,	3.673,	1.869
0.6733,	1.558,	0.7333,	0.1,	-243.0,	3.807,	1.776
0.8944,	1.558,	0.7333,	0.1,	-243.2,	3.721,	2.413
1.116,	1.558,	0.7333,	0.1,	-243.5,	4.252,	1.864
